Seq_Num,AU_Ping,NL_Ping,Closer_Server
1,317.0,14.7,NL
2,366.0,12.8,NL
3,327.0,13.3,NL
4,284.0,13.8,NL
5,274.0,15.1,NL
6,371.0,15.0,NL
7,333.0,15.6,NL
8,286.0,22.4,NL
9,339.0,3603.0,AU
10,298.0,15.4,NL
11,272.0,27.3,NL
12,296.0,16.0,NL
13,344.0,16.6,NL
14,272.0,14.9,NL
15,291.0,15.4,NL
16,272.0,15.3,NL
17,342.0,15.8,NL
18,297.0,15.0,NL
19,344.0,19.9,NL
20,302.0,14.9,NL
21,272.0,16.4,NL
22,289.0,17.0,NL
23,288.0,15.9,NL
24,274.0,14.8,NL
25,347.0,17.3,NL
26,305.0,17.2,NL
27,352.0,14.7,NL
28,274.0,14.3,NL
29,284.0,15.7,NL
30,278.0,17.2,NL
31,350.0,15.7,NL
32,275.0,15.8,NL
33,353.0,19.4,NL
34,276.0,17.5,NL
35,363.0,16.4,NL
36,274.0,16.0,NL
37,364.0,14.4,NL
38,275.0,16.6,NL
39,463.0,16.1,NL
40,344.0,15.1,NL
41,302.0,18.7,NL
42,347.0,13.1,NL
43,309.0,16.3,NL
44,355.0,14.4,NL
45,314.0,16.1,NL
46,362.0,14.7,NL
47,276.0,24.5,NL
48,275.0,15.8,NL
49,318.0,20.6,NL
50,371.0,15.9,NL
51,332.0,16.1,NL
52,274.0,15.8,NL
53,331.0,16.0,NL
54,294.0,14.0,NL
55,335.0,16.3,NL
56,291.0,14.9,NL
57,336.0,17.6,NL
58,295.0,16.7,NL
59,340.0,15.0,NL
60,298.0,16.3,NL
61,273.0,19.7,NL
62,295.0,14.8,NL
63,342.0,25.0,NL
64,301.0,15.3,NL
65,277.0,14.5,NL
66,273.0,15.8,NL
67,274.0,17.6,NL
68,295.0,13.1,NL
69,350.0,16.2,NL
70,274.0,16.5,NL
71,290.0,20.5,NL
72,296.0,18.7,NL
73,274.0,15.0,NL
74,293.0,17.2,NL
75,3874.0,15.0,NL
76,299.0,16.6,NL
77,338.0,18.1,NL
78,275.0,14.0,NL
79,274.0,16.9,NL
80,276.0,15.5,NL
81,334.0,15.0,NL
82,292.0,34.7,NL
83,338.0,14.2,NL
84,296.0,14.4,NL
85,342.0,16.2,NL
86,300.0,15.3,NL
87,280.0,16.7,NL
88,273.0,13.6,NL
89,275.0,16.9,NL
90,274.0,16.7,NL
91,273.0,14.4,NL
92,289.0,14.5,NL
93,276.0,17.4,NL
94,293.0,17.4,NL
95,276.0,16.6,NL
96,283.0,15.3,NL
97,333.0,17.0,NL
98,291.0,19.5,NL
99,276.0,18.0,NL
100,288.0,16.4,NL
